site name,lat,long
Temple of Divus Augustus ,40.926823,14.524545
Temple of Divus Augustus ,41.8916,12.4844
Temple of Roma and Augustus ,37.97162762,23.72730904
Temple of Roma and Augustus ,32.63957609,14.29485758
Roma et Augustus ,37.520416,30.138833
Temple of Augustus et Livia,45.52547342,4.874294976
Temple of Augustus and Rome ,39.94421302,32.8582876
Temple of Augustus,41.3833618,2.177223
Temple of Augustus ,44.87018435,13.84183975
Temple of Claudius ,51.890594,0.90314
Templum divi Claudii  ,41.887594,12.493367
Temple of Vespasian and Titus  ,41.89273058,12.48392164
Temple of Vespasian ,40.7495988,14.48519701
Temple of Trajan at Italica  ,37.440273,-6.044761
Temple of Trajan at Pergamon ,39.1329149,27.1830225
Temple of Hadrian ,41.89975852,12.47941559
Temple of Hadrian (Ephesus) ,37.93854942,27.34191866
Temple of Antoninus and Faustina  ,41.892139,12.486689
Arch of Caracalla (d. Sept. Sev.) ,36.32046203,5.735566986
Arch of Caracalla (d. Sept. Sev.) ,35.4046685,8.1230636
Ceres et Faustina (temple) ,41.85780765,12.52437
Roman temple of Cordoba,37.88479018,-4.776363429
Sebastaeion at Aphrodisias,37.70850469,28.72578364
